site,year,month,day,T2M_MAX,T2M_MIN,PRECTOTCORR
Rome,2004,11,14,13.22,6.98,16.22
Rome,2004,11,15,12.09,6.57,0.44
Rome,2004,11,16,14.19,4.49,0.02
Rome,2004,11,17,16.38,3.64,0
Rome,2004,11,18,15.46,6.3,0.01
Rome,2004,11,19,15.04,9.67,0.3
Rome,2004,11,20,14.05,3.33,0.01
Rome,2004,11,21,12.54,0.91,0
Rome,2004,11,22,11.79,1.69,2.24
Rome,2004,11,23,14.77,9.55,0.39
Rome,2004,11,24,17.4,6.57,0.02
Rome,2004,11,25,13.44,6.77,0.03
Rome,2004,11,26,13.66,8.42,1.13
Rome,2004,11,27,13.52,9.01,17.63
Rome,2004,11,28,15.34,6.13,0.04
Rome,2004,11,29,14.59,8.02,1.63
Rome,2004,11,30,12.9,9.5,3.26
Rome,2004,12,1,14.9,9.44,10.37
Rome,2004,12,2,18.94,11.33,0.24
Rome,2004,12,3,17.4,11.42,7.11
Rome,2004,12,4,14.4,11.25,10.55
Rome,2004,12,5,14.28,12.09,36.93
Rome,2004,12,6,16.34,10.2,7.26
Rome,2004,12,7,18.67,9.15,0.02
Rome,2004,12,8,13.24,11.05,5.5
Rome,2004,12,9,15.16,11.53,1.02
Rome,2004,12,10,16.88,8.15,0.92
Rome,2004,12,11,17.32,7.24,0
Rome,2004,12,12,16.26,7.17,0.05
Rome,2004,12,13,16.38,7.54,0.15
Rome,2004,12,14,15.67,7.3,0
Rome,2004,12,15,14.9,6.94,0.03
Rome,2004,12,16,12.49,7.57,17.85
Rome,2004,12,17,13.1,7.22,21.01
Rome,2004,12,18,11.23,3.47,4.16
Rome,2004,12,19,10.91,2.43,3.75
Rome,2004,12,20,11.43,4.61,3.52
Rome,2004,12,21,9.82,1.67,0
Rome,2004,12,22,9.74,0.39,0.01
Rome,2004,12,23,9.95,-0.61,0
Rome,2004,12,24,10.21,2.19,0.61
Rome,2004,12,25,11.99,8.4,4.12
Rome,2004,12,26,12.46,10.05,27.22
Rome,2004,12,27,11.45,7.69,31.24
Rome,2004,12,28,9.13,5.64,3.86
Rome,2004,12,29,9.44,4.91,3.29
Rome,2004,12,30,10.59,2.45,0.04
Rome,2004,12,31,11.83,0.62,0
Rome,2005,1,1,10.53,2.01,0
Rome,2005,1,2,10.73,3.19,0
Rome,2005,1,3,10.91,1.26,0.24
Rome,2005,1,4,11.44,0.58,0
Rome,2005,1,5,12.09,3.22,0
Rome,2005,1,6,12.34,3.98,0
Rome,2005,1,7,13.94,3.87,0
Rome,2005,1,8,12.91,4.68,0
Rome,2005,1,9,12.31,6.32,0.01
Rome,2005,1,10,12.71,4.48,0.01
Rome,2005,1,11,11.96,3.95,0
Rome,2005,1,12,11.17,4.28,0.04
Rome,2005,1,13,11.02,4.38,0.35
Rome,2005,1,14,12.59,2.08,0.01
Rome,2005,1,15,10.31,0.05,0
Rome,2005,1,16,9.34,-1.17,0
Rome,2005,1,17,9.65,-1.42,0.01
Rome,2005,1,18,8.74,0.05,15.43
Rome,2005,1,19,10.75,4.95,9.98
Rome,2005,1,20,12.66,3.09,0.17
Rome,2005,1,21,13.67,2.95,0
Rome,2005,1,22,13.9,2.26,0
Rome,2005,1,23,10.32,0.1,9.96
Rome,2005,1,24,8.89,1.72,3.39
Rome,2005,1,25,7.28,1.73,3.96
Rome,2005,1,26,5.44,-0.42,2.61
Rome,2005,1,27,4.53,-0.63,1.22
Rome,2005,1,28,4.86,0.92,2.16
Rome,2005,1,29,3.76,-0.74,1
Rome,2005,1,30,7.08,-2.34,0.16
Rome,2005,1,31,7.76,-3.13,0
Rome,2005,2,1,8.44,-0.85,0.11
Rome,2005,2,2,8.28,-0.88,0.02
Rome,2005,2,3,10.72,-0.31,0
Rome,2005,2,4,9.5,-1.04,0
Rome,2005,2,5,7.55,-2.48,0.01
Rome,2005,2,6,8.42,-2.14,0.12
Rome,2005,2,7,9.52,0.03,1.51
Rome,2005,2,8,10.9,0.59,1.88
Rome,2005,2,9,11.33,-1.13,0.01
Rome,2005,2,10,10.85,0.21,0
Rome,2005,2,11,11.69,2.33,0
Rome,2005,2,12,11.58,4.84,0.51
Rome,2005,2,13,14.13,7.33,0.17
Rome,2005,2,14,9.08,4.48,4.02
Rome,2005,2,15,7.02,0.95,0.21
Rome,2005,2,16,8.04,-0.95,0.14
Rome,2005,2,17,8.97,0.9,0.32
Rome,2005,2,18,10.56,0.87,0.02
Rome,2005,2,19,9.33,1.43,1.8
Rome,2005,2,20,7.75,2.9,9.07
Rome,2005,2,21,5.33,3.51,8.92
Rome,2005,2,22,7.81,2.46,0.82
Rome,2005,2,23,7.8,2.54,11.91
Rome,2005,2,24,7.35,2.1,8.17
Rome,2005,2,25,9.97,2.21,2.66
Rome,2005,2,26,8.59,1.6,3.78
Rome,2005,2,27,6.33,-0.33,3.66
Rome,2005,2,28,5.37,-0.97,1.06
Rome,2005,3,1,6.23,-4.2,0.01
Rome,2005,3,2,6.85,-4.07,0.03
Rome,2005,3,3,9.16,-0.82,15.42
Rome,2005,3,4,9.02,3.36,8.28
Rome,2005,3,5,8.28,-0.31,3.51
Rome,2005,3,6,8.05,3.07,7.75
Rome,2005,3,7,7.91,-1.8,1.05
Rome,2005,3,8,7.5,-2.17,0.04
Rome,2005,3,9,11.23,1.01,0.22
Rome,2005,3,10,13.31,1.83,0.37
Rome,2005,3,11,11.23,0.12,1.49
Rome,2005,3,12,11.33,3.05,1.38
Rome,2005,3,13,12.36,6.93,0.01
Rome,2005,3,14,14.38,4.51,0
Rome,2005,3,15,16.79,5.13,0
Rome,2005,3,16,18.64,6.84,0
Rome,2005,3,17,19.94,8.65,0.01
Rome,2005,3,18,19.68,7.9,0
Rome,2005,3,19,18.35,7.35,0
Rome,2005,3,20,18.76,6.62,0.01
Rome,2005,3,21,17.99,6.94,0
Rome,2005,3,22,18.06,7.11,0.02
Rome,2005,3,23,16.63,9.62,0.4
Rome,2005,3,24,20.15,10.04,0.47
Rome,2005,3,25,19.83,11.65,3.09
Rome,2005,3,26,19.48,10.26,0.13
Rome,2005,3,27,16.29,9.96,8.76
Rome,2005,3,28,16.97,9.83,2.09
Rome,2005,3,29,16.16,8.55,0.08
Rome,2005,3,30,16.85,9.48,1.46
Rome,2005,3,31,20.04,7.83,3.33
Rome,2005,4,1,18.71,7.87,0.78
Rome,2005,4,2,16.85,6.93,0.15
Rome,2005,4,3,15.71,5.12,0
Rome,2005,4,4,17.82,5.1,0
Rome,2005,4,5,18.22,7.44,0.01
Rome,2005,4,6,19.37,6.48,0
Rome,2005,4,7,18.28,6.4,0
Rome,2005,4,8,16.44,7.8,1.35
Rome,2005,4,9,13.75,9.6,19.39
Rome,2005,4,10,14.33,8.55,19.69
Rome,2005,4,11,14.08,6.31,8.38
Rome,2005,4,12,15.38,7.25,1.58
Rome,2005,4,13,17.51,6.68,0.06
Rome,2005,4,14,17.54,7.13,0
Rome,2005,4,15,18.24,8.01,0
Rome,2005,4,16,14.08,7.62,11.82
Rome,2005,4,17,10.73,7.37,15.2
Rome,2005,4,18,15.12,3.97,0.38
Rome,2005,4,19,16.57,8.5,0.74
Rome,2005,4,20,14.94,7.48,1.88
Rome,2005,4,21,15.5,6.88,1.09
Rome,2005,4,22,17.42,4.57,0.02
Rome,2005,4,23,17.33,6.51,0
Rome,2005,4,24,17.62,7.86,0.9
Rome,2005,4,25,19.26,11.48,1.14
Rome,2005,4,26,21.44,10.75,0.01
Rome,2005,4,27,22.64,10.83,0.02
Rome,2005,4,28,23.73,12.43,0.02
Rome,2005,4,29,26.33,13.22,0.02
Rome,2005,4,30,25.77,13.46,0
Rome,2005,5,1,25.04,13.71,0
Rome,2005,5,2,26.15,14.69,0.01
Rome,2005,5,3,23.98,14.1,0
Rome,2005,5,4,22.4,12.26,0.05
Rome,2005,5,5,19.69,13.06,0.18
Rome,2005,5,6,20.02,11.65,0.48
Rome,2005,5,7,22.12,9.85,0.08
Rome,2005,5,8,20.37,11.84,0.06
Rome,2005,5,9,19.98,10.49,0.07
Rome,2005,5,10,20.76,11.47,0.3
Rome,2005,5,11,24.81,13.13,0.05
Rome,2005,5,12,25.8,14.09,0
Rome,2005,5,13,24.8,14.92,1.21
Rome,2005,5,14,22.74,15.22,0.24
Rome,2005,5,15,24.05,13.97,0.1
Rome,2005,5,16,23.33,12.83,0.02
Rome,2005,5,17,25.3,14.41,9.5
Rome,2005,5,18,18.59,12.94,6.59
Rome,2005,5,19,21.99,11.13,1.12
Rome,2005,5,20,23.99,8.93,0
Rome,2005,5,21,25.73,11.26,0
Rome,2005,5,22,24.83,14.39,0
Rome,2005,5,23,24.37,14.49,0.37
Rome,2005,5,24,25.59,14.42,1.65
Rome,2005,5,25,27.54,13.26,0.03
Rome,2005,5,26,28.16,13.75,0
Rome,2005,5,27,27.83,15.85,0
Rome,2005,5,28,30.23,18.25,1.72
Rome,2005,5,29,29.11,18.74,1.68
Rome,2005,5,30,29.6,19.26,1.44
Rome,2005,5,31,28.9,18.37,0.24
Rome,2005,6,1,27.56,18.23,0.11
Rome,2005,6,2,26.74,17.98,1.88
Rome,2005,6,3,28.55,17.25,0
Rome,2005,6,4,27.4,17.38,0
Rome,2005,6,5,26.43,17.41,0.11
Rome,2005,6,6,26.14,17.02,3.03
Rome,2005,6,7,27.81,14.76,0.45
Rome,2005,6,8,21.35,10.53,7.39
Rome,2005,6,9,21.06,10.19,1.45
Rome,2005,6,10,22.15,8.94,0.03
Rome,2005,6,11,21.98,13.15,0
Rome,2005,6,12,23.69,12.18,0
Rome,2005,6,13,26.5,14.08,0.03
Rome,2005,6,14,23.99,17.08,1.16
Rome,2005,6,15,25.35,16.84,7.46
Rome,2005,6,16,27.05,16.63,5.71
Rome,2005,6,17,30.62,16.82,0.03
Rome,2005,6,18,30.98,17.9,0.02
Rome,2005,6,19,30.19,19.02,0.67
Rome,2005,6,20,30.8,18.32,0
Rome,2005,6,21,30.81,15.72,0
Rome,2005,6,22,30.42,17.48,0
Rome,2005,6,23,32.26,19.16,0
Rome,2005,6,24,32.55,20.37,0
Rome,2005,6,25,32.22,20.24,0
Rome,2005,6,26,33.2,21.64,0.01
Rome,2005,6,27,35.81,21.18,0
Rome,2005,6,28,34.7,22.45,0
Rome,2005,6,29,33.33,22.43,0
Rome,2005,6,30,31.13,21.24,0
Rome,2005,7,1,29.91,20.43,0
Rome,2005,7,2,31.85,17.95,0.07
Rome,2005,7,3,32.8,18.08,0
Rome,2005,7,4,31.9,17.62,0
Rome,2005,7,5,29.68,19.94,0.01
Rome,2005,7,6,30.23,17.8,0.01
Rome,2005,7,7,28.55,17.11,0
Rome,2005,7,8,25.97,18.37,0.04
Rome,2005,7,9,27.92,17.68,0.09
Rome,2005,7,10,28.07,16.79,0.29
Rome,2005,7,11,26.48,17.07,3.56
Rome,2005,7,12,29.23,16.6,0.62
Rome,2005,7,13,29.84,17.06,0.45
Rome,2005,7,14,32.27,16.7,0
Rome,2005,7,15,33.9,18.41,0
Rome,2005,7,16,34.49,19.83,0
Rome,2005,7,17,33.26,20.63,0
Rome,2005,7,18,34.08,20.28,0
Rome,2005,7,19,32.51,21.26,0.49
Rome,2005,7,20,32.85,20.3,0
Rome,2005,7,21,31.97,19.72,0.01
Rome,2005,7,22,30.17,18.63,0.06
Rome,2005,7,23,30.46,20.38,0.03
Rome,2005,7,24,32.07,19.28,0.01
Rome,2005,7,25,33.61,20.44,0
Rome,2005,7,26,33.8,21.22,0
Rome,2005,7,27,35.26,21.86,0
Rome,2005,7,28,38.08,23.09,0
Rome,2005,7,29,38.97,24.92,0
Rome,2005,7,30,35.94,23.72,0.01
Rome,2005,7,31,33.65,22.49,0
Rome,2005,8,1,34.54,21.16,0
Rome,2005,8,2,32.42,21.48,0.4
Rome,2005,8,3,26.26,19.44,12.39
Rome,2005,8,4,30.56,18.86,0.48
Rome,2005,8,5,29.7,16.65,0.16
Rome,2005,8,6,32.56,14.98,0
Rome,2005,8,7,28.3,18.1,0.06
Rome,2005,8,8,28.84,18.93,0
Rome,2005,8,9,30.03,17.24,0
Rome,2005,8,10,30.46,18.27,0
Rome,2005,8,11,28.38,20.83,0.18
Rome,2005,8,12,30.39,21.61,0.15
Rome,2005,8,13,30.91,20.81,0.24
Rome,2005,8,14,31.48,19.24,0.01
Rome,2005,8,15,29.21,18.73,2.9
Rome,2005,8,16,29.1,14.57,0.81
Rome,2005,8,17,31.61,15.98,0
Rome,2005,8,18,31.67,18.94,0
Rome,2005,8,19,29.4,20.12,0.07
Rome,2005,8,20,28.36,19.28,0.63
Rome,2005,8,21,24.44,17.23,7.7
Rome,2005,8,22,22.42,16.64,6.99
Rome,2005,8,23,26.06,16.02,0.42
Rome,2005,8,24,27.37,17.89,1.23
Rome,2005,8,25,29.01,18.03,0.03
Rome,2005,8,26,29.24,17.88,0.02
Rome,2005,8,27,29.82,18.71,0
Rome,2005,8,28,25.55,19.42,5.26
Rome,2005,8,29,29.41,20.02,0.01
Rome,2005,8,30,27.83,19.95,3.07
Rome,2005,8,31,31.27,19.2,4.4
Rome,2005,9,1,31.42,19.58,0.18
Rome,2005,9,2,32.3,20.38,0.11
Rome,2005,9,3,33.2,19.95,1.08
Rome,2005,9,4,29.66,20.47,1.83
Rome,2005,9,5,29.47,18.96,4.98
Rome,2005,9,6,28.54,17.33,0.06
Rome,2005,9,7,26.53,19.77,17.92
Rome,2005,9,8,28.16,19.45,1.72
Rome,2005,9,9,25.27,19.89,26.75
Rome,2005,9,10,27.36,18.66,3.7
Rome,2005,9,11,27.22,17.05,0.46
Rome,2005,9,12,26.87,17.37,0.87
Rome,2005,9,13,26.84,17.51,0.12
Rome,2005,9,14,28.92,17.79,0.01
Rome,2005,9,15,29.98,14.9,0.03
Rome,2005,9,16,27.4,17.17,0.13
Rome,2005,9,17,23.65,18.91,11.76
Rome,2005,9,18,23.89,17.69,9.19
Rome,2005,9,19,22.96,16.51,9.76
Rome,2005,9,20,23.94,14.9,3.51
Rome,2005,9,21,22.9,14.23,2.07
Rome,2005,9,22,22.03,14.81,9.1
Rome,2005,9,23,25.01,12.73,0.32
Rome,2005,9,24,25.17,13.61,0.19
Rome,2005,9,25,24.04,14.67,1.59
Rome,2005,9,26,25.56,15.5,1.34
Rome,2005,9,27,24.94,16.05,0.04
Rome,2005,9,28,25.58,16.13,0.49
Rome,2005,9,29,23.95,16.68,3.02
Rome,2005,9,30,24.66,11.88,5.7
Rome,2005,10,1,21.96,9.73,0
Rome,2005,10,2,21.09,12.5,7.19
Rome,2005,10,3,17.51,14.65,15.03
Rome,2005,10,4,20.39,13.62,8.81
Rome,2005,10,5,19.67,12.91,11.95
Rome,2005,10,6,18.11,11.06,7.31
Rome,2005,10,7,20.13,12.62,16.21
Rome,2005,10,8,17.19,12.37,26.88
Rome,2005,10,9,22.39,11.29,0.63
Rome,2005,10,10,22.19,11.95,0.67
Rome,2005,10,11,20.8,12.55,2.38
Rome,2005,10,12,20.17,11.81,2.32
Rome,2005,10,13,20.51,11.83,1.52
Rome,2005,10,14,23.8,13.23,0.26
Rome,2005,10,15,23.69,13.14,0.03
Rome,2005,10,16,22.83,11.06,0.06
Rome,2005,10,17,20.85,12.47,0.04
Rome,2005,10,18,20.53,10.41,0.08
Rome,2005,10,19,15.48,12.09,4.23
Rome,2005,10,20,19.44,14.27,24.95
Rome,2005,10,21,19.36,16.11,10.62
Rome,2005,10,22,20.37,14.95,0.81
Rome,2005,10,23,23.86,14.06,0.02
Rome,2005,10,24,23.19,14.7,0.12
Rome,2005,10,25,23.81,13.73,0.04
Rome,2005,10,26,23.47,14.01,0.03
Rome,2005,10,27,23.03,13.48,0.02
Rome,2005,10,28,23.62,12.94,0.08
Rome,2005,10,29,22.93,12.78,0.03
Rome,2005,10,30,21.56,11.52,0.03
Rome,2005,10,31,20.95,12.48,0.03
Rome,2005,11,1,18.73,13.05,3.8
Rome,2005,11,2,21.68,12.8,5.72
Rome,2005,11,3,20.88,11.43,0
Rome,2005,11,4,20.26,10.66,0.09
Rome,2005,11,5,19.19,13.58,2.91
Rome,2005,11,6,17.89,14.58,39.28
Rome,2005,11,7,18.85,10.74,4.18
Rome,2005,11,8,20.98,8.98,0.24
Rome,2005,11,9,19.14,10.61,0.1
Rome,2005,11,10,20.8,10.91,0.11
Rome,2005,11,11,19.38,11.38,0.05
Rome,2005,11,12,18.88,9.18,0.04
Rome,2005,11,13,17.4,8.35,0.47
Rome,2005,11,14,17.16,9.46,0.18
Rome,2005,11,15,17.74,10.79,23.84
Rome,2005,11,16,17.79,10.83,6.81
Rome,2005,11,17,16.02,10.72,3.98
Rome,2005,11,18,15.44,5.69,0.65
Rome,2005,11,19,11.19,1.98,0.21
Rome,2005,11,20,10.15,0.1,0.07
Rome,2005,11,21,11.84,2.18,0.39
Rome,2005,11,22,8.9,4.12,5.89
Rome,2005,11,23,9.17,2.22,0.9
Rome,2005,11,24,7.46,1.11,1.17
Rome,2005,11,25,11.3,0.4,11.08
Rome,2005,11,26,12.58,11.4,33.48
Rome,2005,11,27,11.84,6.1,13.93
Rome,2005,11,28,11.58,5.43,0.97
Rome,2005,11,29,10.71,4.14,15.11
Rome,2005,11,30,11.98,6.42,16.82
Rome,2005,12,1,10.26,4.75,0.43
Rome,2005,12,2,12.34,2.38,2.53
Rome,2005,12,3,14.15,10.37,27.35
Rome,2005,12,4,12.99,7.66,0.3
Rome,2005,12,5,14.99,10.57,17.38
Rome,2005,12,6,11.66,7.23,14.73
Rome,2005,12,7,10.49,3.5,0.66
Rome,2005,12,8,11.25,2.48,1.73
Rome,2005,12,9,8.19,6.04,25.61
Rome,2005,12,10,11.15,3.33,0.66
Rome,2005,12,11,8.61,1.94,15.24
Rome,2005,12,12,12.27,6.38,1.92
Rome,2005,12,13,11.3,3.69,0.32
Rome,2005,12,14,15.33,5.83,0.01
Rome,2005,12,15,9.49,3.05,0.6
Rome,2005,12,16,10.42,1.8,0.43
Rome,2005,12,17,12.96,4.42,1.67
Rome,2005,12,18,7.27,-1.3,0.09
Rome,2005,12,19,7.48,-1.67,0
Rome,2005,12,20,8.9,0.05,0.14
Rome,2005,12,21,9.44,1.68,0.31
Rome,2005,12,22,10.11,1.1,0
Rome,2005,12,23,10.76,1.47,0
Rome,2005,12,24,10.46,2.25,0
Rome,2005,12,25,9.58,5.44,6.13
Rome,2005,12,26,11.09,7.25,3.27
Rome,2005,12,27,10.38,6.51,11.17
Rome,2005,12,28,9.64,3.42,5.76
Rome,2005,12,29,5.4,1.65,4.63
Rome,2005,12,30,4.82,-1.02,0.67
Rome,2005,12,31,10.3,1.76,2.26
Rome,2006,1,1,11.95,7.62,18.59
Rome,2006,1,2,9.26,6.47,12.42
Rome,2006,1,3,10.19,3.62,7.7
Rome,2006,1,4,7.51,2.71,1.66
Rome,2006,1,5,10.59,3.49,0.11
Rome,2006,1,6,10.56,2.98,0.01
Rome,2006,1,7,10.55,0.97,0
Rome,2006,1,8,10.69,0.8,0
Rome,2006,1,9,10.99,0.83,0
Rome,2006,1,10,10.63,2.01,0
Rome,2006,1,11,10.11,1.95,0
Rome,2006,1,12,10.7,-0.35,0
Rome,2006,1,13,9.52,-0.04,0
Rome,2006,1,14,8.02,-0.41,0
Rome,2006,1,15,8.93,-0.11,0
Rome,2006,1,16,8.15,2.35,0.74
Rome,2006,1,17,9.89,0.49,2.1
Rome,2006,1,18,9.86,7.3,9.89
Rome,2006,1,19,11.94,2.38,0.06
Rome,2006,1,20,11.62,2.12,0
Rome,2006,1,21,10.68,2.33,0.02
Rome,2006,1,22,9.12,1.14,0.43
Rome,2006,1,23,4.74,-0.85,0.01
Rome,2006,1,24,5.28,-2.62,0.01
Rome,2006,1,25,5.8,-2.93,0
Rome,2006,1,26,6.12,-0.94,1.07
Rome,2006,1,27,7.47,2.64,5.41
Rome,2006,1,28,12.35,5.67,0.74
Rome,2006,1,29,12.73,6.91,0.87
Rome,2006,1,30,10.92,6.54,1.19
Rome,2006,1,31,16.71,4.35,0.01
Rome,2006,2,1,17.95,2.02,0
Rome,2006,2,2,14.88,4.03,0
Rome,2006,2,3,13.11,4.57,0
Rome,2006,2,4,11.58,6.47,0.3
Rome,2006,2,5,9.62,-0.71,0.25
Rome,2006,2,6,5.16,-2.7,0.66
Rome,2006,2,7,7.58,-3.17,0
Rome,2006,2,8,7.76,0.83,0.12
Rome,2006,2,9,11.5,3.88,0.14
Rome,2006,2,10,11.61,1.83,0.19
Rome,2006,2,11,11.63,-0.27,0
Rome,2006,2,12,9.35,-0.89,0.01
Rome,2006,2,13,9.85,0.92,0
Rome,2006,2,14,10.47,0,0
Rome,2006,2,15,10.4,2.65,1.95
Rome,2006,2,16,10.43,7.85,11.15
Rome,2006,2,17,14.62,7.18,1.18
Rome,2006,2,18,13.48,4.2,0
Rome,2006,2,19,14.01,6.51,0.13
Rome,2006,2,20,11.76,7.29,13.98
Rome,2006,2,21,9.39,7,22.91
Rome,2006,2,22,11.82,5.99,7.69
Rome,2006,2,23,10.1,4.76,7.37
Rome,2006,2,24,10.94,6.8,6.07
Rome,2006,2,25,11.32,4.03,0.98
Rome,2006,2,26,11.44,2.4,0.04
Rome,2006,2,27,8.71,4.72,5.41
Rome,2006,2,28,11.01,3.27,0.42
Rome,2006,3,1,10.86,4.47,0.25
Rome,2006,3,2,11,3.51,0.21
Rome,2006,3,3,12,2.92,0.06
Rome,2006,3,4,13.98,6.95,0
Rome,2006,3,5,14.18,8.91,2.62
Rome,2006,3,6,9.46,1.07,11.9
Rome,2006,3,7,6.7,-1.03,0.16
Rome,2006,3,8,10.57,-1.64,0.16
Rome,2006,3,9,13.12,2.26,2.13
Rome,2006,3,10,12.3,6.62,1.58
Rome,2006,3,11,10.15,4.86,4.86
Rome,2006,3,12,12.62,1.34,0.43
Rome,2006,3,13,9.32,0.73,0.14
Rome,2006,3,14,12.89,0.11,0
Rome,2006,3,15,13.15,0.08,0.01
Rome,2006,3,16,10.26,6.4,19.21
Rome,2006,3,17,14.82,3.72,0.24
Rome,2006,3,18,12.61,3.09,0.04
Rome,2006,3,19,13.58,6.3,0.5
Rome,2006,3,20,14.49,8.27,0.3
Rome,2006,3,21,16.24,8.69,1.56
Rome,2006,3,22,18.01,8.42,4.17
Rome,2006,3,23,14.95,5.3,3.96
Rome,2006,3,24,12.41,3.34,4.7
Rome,2006,3,25,15.36,7.93,0.9
Rome,2006,3,26,19.01,7.05,0
Rome,2006,3,27,18.12,8.57,0.01
Rome,2006,3,28,17.04,8.9,0.02
Rome,2006,3,29,15.94,7.66,0
Rome,2006,3,30,17.42,6.12,0.01
Rome,2006,3,31,17.57,7.4,0
Rome,2006,4,1,20.18,8.18,0
Rome,2006,4,2,20.67,8.98,0.01
Rome,2006,4,3,20.44,8.76,0.01
Rome,2006,4,4,20.63,6.76,0.02
Rome,2006,4,5,14.58,6.9,0.11
Rome,2006,4,6,18.94,9.76,0.5
Rome,2006,4,7,18.35,6.78,0.03
Rome,2006,4,8,18.38,5.94,0.03
Rome,2006,4,9,19.15,6.42,0
Rome,2006,4,10,18.83,9.65,0.53
Rome,2006,4,11,14.22,6.15,0.44
Rome,2006,4,12,16.08,3.92,0.16
Rome,2006,4,13,15.7,4.94,0.56
Rome,2006,4,14,19.08,5.74,0
Rome,2006,4,15,19.1,7,0.03
Rome,2006,4,16,19.94,10.65,1.24
Rome,2006,4,17,18.01,10.51,1.15
Rome,2006,4,18,21.75,11.76,9.19
Rome,2006,4,19,23.28,9.43,1.1
Rome,2006,4,20,21.17,10.92,0.02
Rome,2006,4,21,18.17,10.51,1.4
Rome,2006,4,22,22.49,9.17,0.07
Rome,2006,4,23,22.02,9.86,0
Rome,2006,4,24,23.8,11.75,0
Rome,2006,4,25,24.19,13.5,0.13
Rome,2006,4,26,19.31,13.26,2.15
Rome,2006,4,27,18.58,12.42,5.68
Rome,2006,4,28,17.53,12.18,6.72
Rome,2006,4,29,17.04,11.8,8.32
Rome,2006,4,30,18.12,10.87,4.13
Rome,2006,5,1,19.87,10.69,0.03
Rome,2006,5,2,21.62,10.54,0.18
Rome,2006,5,3,23.57,11.43,0.01
Rome,2006,5,4,24.14,10.66,0.05
Rome,2006,5,5,22.87,12.75,0.34
Rome,2006,5,6,19.3,12.92,0.71
Rome,2006,5,7,20.49,10.98,0.58
Rome,2006,5,8,20.19,10.68,1.42
Rome,2006,5,9,17.95,11.15,8.88
Rome,2006,5,10,20.28,9.45,1.28
Rome,2006,5,11,19.38,9.82,1.71
Rome,2006,5,12,23.9,9.1,0
Rome,2006,5,13,23.31,12.8,0.01
Rome,2006,5,14,21.08,11.67,0.04
Rome,2006,5,15,25.65,11.5,0.01
Rome,2006,5,16,25.62,13,0.04
Rome,2006,5,17,25.12,13.97,0
Rome,2006,5,18,27.28,15.69,0.01
Rome,2006,5,19,25.9,15.86,0.01
Rome,2006,5,20,22.59,14.43,0
Rome,2006,5,21,23.73,14.31,0
Rome,2006,5,22,28.19,14.9,0
Rome,2006,5,23,30.9,16.73,0.01
Rome,2006,5,24,27.09,14.85,0.05
Rome,2006,5,25,27.05,12.92,0
Rome,2006,5,26,26.74,13.76,0
Rome,2006,5,27,27.3,15.44,0
Rome,2006,5,28,25.97,15.25,0
Rome,2006,5,29,24.99,14.83,0.01
Rome,2006,5,30,23.13,11.36,0.03
Rome,2006,5,31,22.02,8.48,0.11
Rome,2006,6,1,17.4,11.37,6.67
Rome,2006,6,2,16.83,9.92,6.67
Rome,2006,6,3,18.4,8.49,1.25
Rome,2006,6,4,21.9,10.26,0.47
Rome,2006,6,5,22.73,10.6,0.26
Rome,2006,6,6,19.4,13.44,2.62
Rome,2006,6,7,23.41,10.65,0.18
Rome,2006,6,8,23.69,9.31,0
Rome,2006,6,9,23.97,9.62,0.03
Rome,2006,6,10,24.8,11.01,0.03
Rome,2006,6,11,23.86,12.48,0.98
Rome,2006,6,12,25.29,10.65,0.03
Rome,2006,6,13,26.86,12.9,0
Rome,2006,6,14,27.82,14.19,0
Rome,2006,6,15,27.8,15.3,0.01
Rome,2006,6,16,26.76,17.22,0.01
Rome,2006,6,17,30.43,16.49,0
Rome,2006,6,18,29.94,18.96,0
Rome,2006,6,19,28.74,19.44,0
Rome,2006,6,20,32.65,19.92,0
Rome,2006,6,21,33.46,20.53,0
Rome,2006,6,22,32.93,20.37,0
Rome,2006,6,23,33.39,21.48,0.01
Rome,2006,6,24,34.01,21.17,0
Rome,2006,6,25,34.17,21.62,0
Rome,2006,6,26,33.96,21.88,0
Rome,2006,6,27,33.68,21.78,0
Rome,2006,6,28,34.83,23.55,0
Rome,2006,6,29,31.57,21.98,0
Rome,2006,6,30,33.03,20.84,0
Rome,2006,7,1,33.98,21.07,0.03
Rome,2006,7,2,33.13,19.14,0
Rome,2006,7,3,33.59,18.9,0
Rome,2006,7,4,33.23,19.34,1.16
Rome,2006,7,5,32.35,19.05,0
Rome,2006,7,6,30.94,20.69,0.71
Rome,2006,7,7,28.3,21.15,11.72
Rome,2006,7,8,29.69,19.12,1.43
Rome,2006,7,9,30.65,18.66,3.57
Rome,2006,7,10,33.69,18.84,0.03
Rome,2006,7,11,34.01,20.07,0.13
Rome,2006,7,12,34.61,19.98,0
Rome,2006,7,13,33.55,22.24,0.54
Rome,2006,7,14,33.14,22.02,0.02
Rome,2006,7,15,33.65,22.14,0.74
Rome,2006,7,16,34.18,20.92,0.11
Rome,2006,7,17,32.21,17.83,0
Rome,2006,7,18,32.08,17.98,0
Rome,2006,7,19,32.75,20.26,0
Rome,2006,7,20,36.01,20.48,0.01
Rome,2006,7,21,36.9,21.31,0
Rome,2006,7,22,36.2,22.69,0.01
Rome,2006,7,23,35.97,23.12,1.87
Rome,2006,7,24,34.35,23.5,7.52
Rome,2006,7,25,35.41,24.69,0.26
